Hourly Time (days),SS16,PON,Don,NO3,NH4
2.375,585992.4968116297,2300.8198275338664,11784.151357075045,549.8549868242294,2677.1424727576195
2.4166666666666665,572790.8850445889,2236.7539945946014,11493.147022107327,536.2555249126335,2597.735875984109
2.458333333333333,559478.4318194336,2173.0929421327196,11197.511687210716,521.7479920377697,2518.3718288078157
2.5,546056.3046268845,2109.7731908067253,10897.571206691715,506.6225169239867,2438.969774394776
2.5416666666666665,532525.5727028553,2046.732424068426,10593.672085930222,490.81500838601136,2359.4376330128266
2.583333333333333,518887.3370084494,1983.9298516832778,10286.072641440822,474.3685368007153,2279.7604022216465
2.625,505142.73066324607,1921.346312475065,9974.942269517003,457.4583908804018,2200.0008493976975
2.6666666666666665,491292.9229714339,1858.9851398300057,9660.356793966059,440.4305789503557,2120.3031388711256
2.708333333333333,477338.9525208327,1796.8552761335218,9342.376495772436,423.9698153908534,2040.8274766959942
2.75,463281.53819365066,1734.9316533538606,9021.246161086727,408.2922525739007,1961.5899771870006
2.7916666666666665,449121.46823557164,1673.191201330829,8697.221036197703,393.36259529031383,1882.6057043341505
2.833333333333333,434859.6467712913,1611.6184728098863,8370.53877160763,378.98840101451987,1803.911344932171
2.875,420497.0938045181,1550.2056434421456,8041.41942203228,364.8200799045572,1725.565208580515
2.9166666666666665,405966.18411492964,1488.671269217589,7708.815220511077,350.2964570181392,1647.3595078672936
2.958333333333333,391297.3477560948,1427.1227561120868,7373.532484868626,335.7808523815691,1569.430231651342
3.0,376919.3907622589,1367.270220257118,7043.730954971405,322.57497943055904,1493.4979132048718
3.0416666666666665,363184.17370682827,1310.494277842502,6726.2062976562665,311.2857746560495,1420.9652667728428
3.083333333333333,350342.1310345725,1257.746428183894,6425.942176651516,301.7656983286038,1352.8177731277954
3.125,338541.96404613,1209.5478347671212,6146.105036787897,293.1158780783983,1289.6223897697894
3.1666666666666665,327750.1280945254,1165.6873423064521,5886.583969956033,284.8765316392709,1231.2291146925315
3.208333333333333,317835.7765956347,1125.609094554182,5645.251147159851,277.62446119597337,1177.2008534970937
3.25,308708.08365419146,1088.920352653266,5420.618072272984,271.4693378307759,1127.241783841779
3.2916666666666665,300284.89510256355,1055.255149467932,5211.381132815876,266.21378985688443,1081.0308224106661
3.333333333333333,292492.728500752,1024.274289583677,5016.421599955765,261.3534028184404,1038.221624913607
3.375,285266.376008215,995.6722747892787,4834.750222876481,256.23708309451484,998.4750611681648
3.4166666666666665,278549.6819611673,969.1965695622265,4665.423288321551,250.8748676009157,961.5213633307094
3.458333333333333,272292.9042351417,944.6226662588005,4507.588906937468,245.42447662700567,927.1088493981545
3.5,266450.75130631,921.7465460570162,4360.457434284059,239.88443615484258,895.0062730409527
3.5416666666666665,260982.37891696682,900.3846819357525,4223.3013284133485,234.09388979538832,865.0028869116811
3.583333333333333,255851.39007552873,880.3740386747497,4095.4551498695555,227.7325987885086,836.9084426450397
3.625,251025.88326585968,861.5720975650934,3976.3162334923795,220.71342511680805,810.55171824006
3.6666666666666665,246478.48645935077,843.8658940864441,3865.2743829478623,213.66062034017898,785.8145520950832
3.708333333333333,242184.87582204436,827.1603243446094,3761.732527562468,206.70945923311515,762.6105010045295
3.75,238123.14595794707,811.3654161774757,3665.1719622134697,199.9238579827934,740.843216187278
3.7916666666666665,234273.80579780816,796.3961694053255,3575.153302774713,193.31533564324607,720.4058345992728
3.833333333333333,230619.77859911922,782.1725558308367,3491.31648611661,186.8430141353608,701.180978933522
3.875,227141.28444065002,768.6206335998437,3413.1601256263243,180.56237858118425,683.0924187499675
3.9166666666666665,223843.9903568951,755.7400212453797,3340.708581558416,174.42180949413802,666.105276442893
3.958333333333333,220716.56849299095,743.474837377394,3273.720368350634,168.39766678554133,650.1281761577605
4.0,217701.53923046176,731.6484023435349,3210.966914149614,162.76244877541416,635.0334749775132
4.041666666666666,214693.24937895138,719.9581153408523,3150.1921430024136,158.11770217695795,620.6562760727911
4.083333333333333,211578.10934244908,708.0849883824155,3088.9841146011677,155.15768361703047,606.8323658810531
4.125,208346.5914573821,695.9909917355978,3027.0835174221434,153.50888401867516,593.4922875657932
4.166666666666666,205004.8881608398,683.6884115329956,2964.5036523966314,152.70148631767736,580.6088611587712
4.208333333333333,201558.81563435547,671.1933128095711,2901.2263229673235,152.37245457971895,568.171564524755
4.25,198013.7719342989,658.5091555930832,2837.313259675865,152.37060915010755,556.1317744512905
4.291666666666666,194374.81603093343,645.6418012711591,2772.8060249376804,152.6320081611675,544.4519438140275
4.333333333333333,190646.72107277595,632.6020318545922,2707.709014425467,153.0661967597481,533.1134055549886
4.375,186833.96063560268,619.391891827846,2642.081103104005,153.46589391806796,522.0705337890607
4.416666666666666,182940.65939037665,606.0147353462283,2575.9684844733965,153.7887689037129,511.28618721328115
4.458333333333333,178970.71094324676,592.4743169512508,2509.4116795927957,153.98584911540064,500.72656180616457
4.5,174927.80554999743,578.7693363670603,2442.4822923896418,153.89959593139537,490.34219599685696
4.541666666666666,170815.51862550437,564.9080258318954,2375.188916879611,153.6152101678525,480.1172597372344
4.583333333333333,166636.9807689721,550.9018142435561,2307.511050019232,153.38445083473502,470.05244285175985
4.625,162395.02446109153,536.7524267388757,2239.486817677825,153.2232885312175,460.11802633542584
4.666666666666666,158092.41623335122,522.4630555548647,2171.14456588839,153.12729588853688,450.28919706080717
4.708333333333333,153731.85666803748,508.03836002871003,2102.5028608476005,153.0716475699926,440.5460477780606
4.75,149315.98039823456,493.4844665977771,2033.5704889158123,153.0111202709465,430.87357711492575
4.791666666666666,144847.33098722537,478.80839875864876,1964.3495759482576,152.8911951674221,421.26020884701904
4.833333333333333,140328.02824095177,464.01244046724287,1894.8650051253858,152.78647607676572,411.6842883689386
4.875,135759.98060249336,449.0993202512451,1825.135862052065,152.8008055756333,402.12771154509426
4.916666666666666,131145.08683543964,434.07264111033203,1755.1762569653024,152.99255921426152,392.5745216605226
4.958333333333333,126485.22277946431,418.93622081542367,1684.9992071149882,153.38187995564607,383.00897917362175
5.0,121782.24135032571,403.6940919086855,1614.616636763904,153.95067817554173,373.41556171615275
